,Image_Name,Image_label,Image_Type
0,3,5,Street
1,5,0,Buildings
2,6,4,Sea
3,11,2,Glacier
4,14,5,Street
5,22,1,Forest
6,25,4,Sea
7,28,3,Mountain
8,30,2,Glacier
9,38,2,Glacier
10,51,2,Glacier
11,52,3,Mountain
12,61,0,Buildings
13,63,3,Mountain
14,64,1,Forest
15,69,5,Street
16,70,2,Glacier
17,72,5,Street
18,73,0,Buildings
19,76,3,Mountain
20,77,0,Buildings
21,79,0,Buildings
22,81,2,Glacier
23,84,3,Mountain
24,88,1,Forest
25,93,5,Street
26,99,1,Forest
27,101,2,Glacier
28,103,0,Buildings
29,110,3,Mountain
30,117,5,Street
31,119,2,Glacier
32,121,5,Street
33,126,4,Sea
34,127,2,Glacier
35,129,4,Sea
36,130,3,Mountain
37,132,4,Sea
38,133,5,Street
39,135,4,Sea
40,140,0,Buildings
41,141,5,Street
42,143,3,Mountain
43,144,5,Street
44,145,0,Buildings
45,149,1,Forest
46,152,1,Forest
47,156,0,Buildings
48,161,4,Sea
49,169,0,Buildings
50,171,4,Sea
51,172,1,Forest
52,173,3,Mountain
53,176,3,Mountain
54,179,3,Mountain
55,182,5,Street
56,183,1,Forest
57,185,3,Mountain
58,198,3,Mountain
59,199,1,Forest
60,203,0,Buildings
61,211,4,Sea
62,212,5,Street
63,215,4,Sea
64,221,2,Glacier
65,222,0,Buildings
66,225,3,Mountain
67,227,4,Sea
68,233,4,Sea
69,237,3,Mountain
70,238,2,Glacier
71,242,0,Buildings
72,244,0,Buildings
73,251,2,Glacier
74,252,3,Mountain
75,255,3,Mountain
76,268,5,Street
77,271,5,Street
78,273,1,Forest
79,274,4,Sea
80,278,0,Buildings
81,284,5,Street
82,287,4,Sea
83,291,3,Mountain
84,302,0,Buildings
85,303,3,Mountain
86,308,3,Mountain
87,310,2,Glacier
88,319,4,Sea
89,320,5,Street
90,324,5,Street
91,327,3,Mountain
92,328,3,Mountain
93,334,1,Forest
94,337,4,Sea
95,344,2,Glacier
96,346,3,Mountain
97,347,4,Sea
98,350,0,Buildings
99,351,0,Buildings
100,354,3,Mountain
101,360,0,Buildings
102,362,3,Mountain
103,365,3,Mountain
104,368,4,Sea
105,374,1,Forest
106,375,5,Street
107,379,5,Street
108,382,3,Mountain
109,385,3,Mountain
110,387,0,Buildings
111,388,3,Mountain
112,389,1,Forest
113,393,5,Street
114,398,4,Sea
115,399,3,Mountain
116,400,2,Glacier
117,403,4,Sea
118,408,2,Glacier
119,410,2,Glacier
120,413,4,Sea
121,420,3,Mountain
122,423,4,Sea
123,424,3,Mountain
124,425,3,Mountain
125,428,4,Sea
126,429,4,Sea
127,434,4,Sea
128,435,1,Forest
129,436,3,Mountain
130,442,1,Forest
131,452,3,Mountain
132,453,3,Mountain
133,458,4,Sea
134,462,1,Forest
135,465,3,Mountain
136,467,3,Mountain
137,471,2,Glacier
138,475,1,Forest
139,482,3,Mountain
140,485,4,Sea
141,487,4,Sea
142,490,2,Glacier
143,492,2,Glacier
144,493,1,Forest
145,494,1,Forest
146,497,5,Street
147,498,2,Glacier
148,499,2,Glacier
149,507,1,Forest
150,513,0,Buildings
151,515,5,Street
152,516,3,Mountain
153,520,0,Buildings
154,522,2,Glacier
155,527,3,Mountain
156,528,4,Sea
157,529,4,Sea
158,531,2,Glacier
159,536,2,Glacier
160,544,4,Sea
161,546,0,Buildings
162,548,0,Buildings
163,549,1,Forest
164,553,2,Glacier
165,555,5,Street
166,557,0,Buildings
167,560,1,Forest
168,561,2,Glacier
169,563,3,Mountain
170,565,1,Forest
171,568,4,Sea
172,570,4,Sea
173,572,5,Street
174,575,1,Forest
175,577,4,Sea
176,579,2,Glacier
177,584,4,Sea
178,588,1,Forest
179,590,5,Street
180,591,1,Forest
181,592,1,Forest
182,593,3,Mountain
183,598,4,Sea
184,600,3,Mountain
185,601,2,Glacier
186,605,0,Buildings
187,607,2,Glacier
188,608,0,Buildings
189,609,1,Forest
190,614,5,Street
191,615,5,Street
192,616,0,Buildings
193,619,1,Forest
194,622,3,Mountain
195,626,3,Mountain
196,629,1,Forest
197,630,4,Sea
198,632,3,Mountain
199,633,4,Sea
200,638,2,Glacier
201,645,0,Buildings
202,646,3,Mountain
203,653,5,Street
204,655,0,Buildings
205,656,5,Street
206,660,3,Mountain
207,661,1,Forest
208,667,1,Forest
209,668,0,Buildings
210,671,5,Street
211,672,1,Forest
212,676,3,Mountain
213,677,3,Mountain
214,682,2,Glacier
215,689,5,Street
216,691,3,Mountain
217,692,1,Forest
218,695,3,Mountain
219,700,5,Street
220,705,5,Street
221,709,3,Mountain
222,718,4,Sea
223,720,1,Forest
224,732,5,Street
225,734,0,Buildings
226,736,0,Buildings
227,738,3,Mountain
228,740,0,Buildings
229,745,0,Buildings
230,754,1,Forest
231,760,3,Mountain
232,761,2,Glacier
233,766,4,Sea
234,774,4,Sea
235,777,3,Mountain
236,779,2,Glacier
237,785,2,Glacier
238,787,1,Forest
239,788,3,Mountain
240,792,2,Glacier
241,794,1,Forest
242,797,0,Buildings
243,798,4,Sea
244,799,1,Forest
245,802,3,Mountain
246,803,3,Mountain
247,806,3,Mountain
248,811,5,Street
249,812,3,Mountain
250,817,3,Mountain
251,818,2,Glacier
252,819,2,Glacier
253,825,3,Mountain
254,826,4,Sea
255,828,0,Buildings
256,830,3,Mountain
257,831,1,Forest
258,832,3,Mountain
259,833,3,Mountain
260,836,4,Sea
261,837,0,Buildings
262,839,3,Mountain
263,841,2,Glacier
264,849,0,Buildings
265,854,0,Buildings
266,858,3,Mountain
267,862,4,Sea
268,863,3,Mountain
269,870,3,Mountain
270,873,2,Glacier
271,875,3,Mountain
272,881,2,Glacier
273,885,2,Glacier
274,888,5,Street
275,890,1,Forest
276,895,2,Glacier
277,896,3,Mountain
278,900,5,Street
279,902,5,Street
280,905,3,Mountain
281,911,3,Mountain
282,913,5,Street
283,917,4,Sea
284,918,3,Mountain
285,919,1,Forest
286,920,0,Buildings
287,921,1,Forest
288,924,3,Mountain
289,926,2,Glacier
290,927,2,Glacier
291,930,2,Glacier
292,935,0,Buildings
293,936,4,Sea
294,939,3,Mountain
295,940,3,Mountain
296,944,1,Forest
297,948,2,Glacier
298,949,0,Buildings
299,950,4,Sea
300,951,3,Mountain
301,952,0,Buildings
302,957,1,Forest
303,961,0,Buildings
304,973,3,Mountain
305,975,4,Sea
306,983,1,Forest
307,985,2,Glacier
308,987,5,Street
309,989,0,Buildings
310,995,1,Forest
311,996,3,Mountain
312,1003,4,Sea
313,1008,5,Street
314,1016,4,Sea
315,1018,1,Forest
316,1020,0,Buildings
317,1026,1,Forest
318,1036,3,Mountain
319,1037,5,Street
320,1039,0,Buildings
321,1046,2,Glacier
322,1048,2,Glacier
323,1049,5,Street
324,1051,2,Glacier
325,1052,1,Forest
326,1053,0,Buildings
327,1060,2,Glacier
328,1061,3,Mountain
329,1066,3,Mountain
330,1070,1,Forest
331,1071,4,Sea
332,1072,4,Sea
333,1076,1,Forest
334,1081,0,Buildings
335,1082,2,Glacier
336,1083,5,Street
337,1084,0,Buildings
338,1086,2,Glacier
339,1092,2,Glacier
340,1095,3,Mountain
341,1101,5,Street
342,1102,4,Sea
343,1109,5,Street
344,1113,2,Glacier
345,1114,5,Street
346,1119,4,Sea
347,1123,4,Sea
348,1125,2,Glacier
349,1130,2,Glacier
350,1136,0,Buildings
351,1141,2,Glacier
352,1143,1,Forest
353,1150,5,Street
354,1158,2,Glacier
355,1162,2,Glacier
356,1164,5,Street
357,1166,4,Sea
358,1168,1,Forest
359,1169,0,Buildings
360,1170,4,Sea
361,1173,0,Buildings
362,1174,0,Buildings
363,1176,0,Buildings
364,1180,1,Forest
365,1187,4,Sea
366,1190,2,Glacier
367,1197,1,Forest
368,1200,3,Mountain
369,1202,2,Glacier
370,1206,0,Buildings
371,1207,1,Forest
372,1211,2,Glacier
373,1214,0,Buildings
374,1222,3,Mountain
375,1223,3,Mountain
376,1226,1,Forest
377,1227,4,Sea
378,1234,0,Buildings
379,1239,3,Mountain
380,1241,4,Sea
381,1245,0,Buildings
382,1247,2,Glacier
383,1253,2,Glacier
384,1255,3,Mountain
385,1258,3,Mountain
386,1264,1,Forest
387,1268,2,Glacier
388,1271,1,Forest
389,1274,4,Sea
390,1276,3,Mountain
391,1277,4,Sea
392,1279,0,Buildings
393,1283,2,Glacier
394,1288,3,Mountain
395,1289,4,Sea
396,1290,3,Mountain
397,1294,3,Mountain
398,1300,4,Sea
399,1302,4,Sea
400,1307,4,Sea
401,1313,1,Forest
402,1319,1,Forest
403,1322,4,Sea
404,1324,5,Street
405,1328,3,Mountain
406,1330,5,Street
407,1334,4,Sea
408,1337,0,Buildings
409,1338,2,Glacier
410,1347,1,Forest
411,1348,1,Forest
412,1349,4,Sea
413,1351,1,Forest
414,1352,0,Buildings
415,1355,5,Street
416,1356,3,Mountain
417,1359,3,Mountain
418,1360,3,Mountain
419,1364,5,Street
420,1370,3,Mountain
421,1371,2,Glacier
422,1374,3,Mountain
423,1376,2,Glacier
424,1382,3,Mountain
425,1383,0,Buildings
426,1386,0,Buildings
427,1387,0,Buildings
428,1388,4,Sea
429,1390,3,Mountain
430,1393,0,Buildings
431,1404,2,Glacier
432,1405,1,Forest
433,1409,1,Forest
434,1414,1,Forest
435,1418,4,Sea
436,1419,3,Mountain
437,1427,5,Street
438,1428,3,Mountain
439,1431,1,Forest
440,1433,2,Glacier
441,1436,1,Forest
442,1438,1,Forest
443,1440,3,Mountain
444,1444,1,Forest
445,1448,4,Sea
446,1449,0,Buildings
447,1451,1,Forest
448,1452,3,Mountain
449,1456,3,Mountain
450,1459,0,Buildings
451,1463,2,Glacier
452,1467,2,Glacier
453,1468,3,Mountain
454,1470,4,Sea
455,1474,2,Glacier
456,1478,4,Sea
457,1479,2,Glacier
458,1483,3,Mountain
459,1492,2,Glacier
460,1494,3,Mountain
461,1504,1,Forest
462,1509,4,Sea
463,1511,0,Buildings
464,1515,5,Street
465,1521,0,Buildings
466,1522,3,Mountain
467,1524,1,Forest
468,1525,4,Sea
469,1534,3,Mountain
470,1535,2,Glacier
471,1536,3,Mountain
472,1544,4,Sea
473,1545,3,Mountain
474,1547,3,Mountain
475,1551,3,Mountain
476,1557,0,Buildings
477,1561,5,Street
478,1568,4,Sea
479,1577,5,Street
480,1578,3,Mountain
481,1579,2,Glacier
482,1581,3,Mountain
483,1583,2,Glacier
484,1585,4,Sea
485,1596,3,Mountain
486,1598,1,Forest
487,1614,3,Mountain
488,1617,5,Street
489,1620,1,Forest
490,1624,4,Sea
491,1627,0,Buildings
492,1631,0,Buildings
493,1634,4,Sea
494,1638,1,Forest
495,1644,1,Forest
496,1649,2,Glacier
497,1652,4,Sea
498,1653,3,Mountain
499,1655,5,Street
500,1664,5,Street
501,1671,1,Forest
502,1678,2,Glacier
503,1680,3,Mountain
504,1681,4,Sea
505,1688,5,Street
506,1694,2,Glacier
507,1704,1,Forest
508,1708,5,Street
509,1712,3,Mountain
510,1713,2,Glacier
511,1717,0,Buildings
512,1722,2,Glacier
513,1724,5,Street
514,1726,1,Forest
515,1727,0,Buildings
516,1737,0,Buildings
517,1745,5,Street
518,1746,1,Forest
519,1749,0,Buildings
520,1752,5,Street
521,1756,4,Sea
522,1764,5,Street
523,1769,3,Mountain
524,1771,4,Sea
525,1776,2,Glacier
526,1777,0,Buildings
527,1779,0,Buildings
528,1780,4,Sea
529,1783,5,Street
530,1785,4,Sea
531,1793,0,Buildings
532,1795,1,Forest
533,1797,2,Glacier
534,1800,1,Forest
535,1801,4,Sea
536,1802,1,Forest
537,1808,3,Mountain
538,1812,0,Buildings
539,1814,1,Forest
540,1815,3,Mountain
541,1816,2,Glacier
542,1821,2,Glacier
543,1822,0,Buildings
544,1830,3,Mountain
545,1831,2,Glacier
546,1834,4,Sea
547,1835,3,Mountain
548,1837,2,Glacier
549,1839,3,Mountain
550,1842,2,Glacier
551,1847,3,Mountain
552,1876,0,Buildings
553,1882,3,Mountain
554,1884,0,Buildings
555,1885,2,Glacier
556,1889,3,Mountain
557,1893,2,Glacier
558,1897,3,Mountain
559,1906,5,Street
560,1914,0,Buildings
561,1918,1,Forest
562,1920,0,Buildings
563,1922,0,Buildings
564,1923,4,Sea
565,1924,5,Street
566,1929,0,Buildings
567,1931,4,Sea
568,1934,1,Forest
569,1935,4,Sea
570,1945,1,Forest
571,1948,1,Forest
572,1949,4,Sea
573,1951,0,Buildings
574,1965,1,Forest
575,1969,5,Street
576,1971,1,Forest
577,1972,3,Mountain
578,1973,0,Buildings
579,1975,2,Glacier
580,1983,1,Forest
581,1985,2,Glacier
582,1986,1,Forest
583,1987,5,Street
584,1990,2,Glacier
585,1992,2,Glacier
586,1994,2,Glacier
587,1995,1,Forest
588,1997,4,Sea
589,2001,4,Sea
590,2007,0,Buildings
591,2009,4,Sea
592,2011,1,Forest
593,2016,5,Street
594,2017,0,Buildings
595,2020,0,Buildings
596,2022,0,Buildings
597,2023,0,Buildings
598,2024,0,Buildings
599,2025,0,Buildings
600,2026,4,Sea
601,2028,2,Glacier
602,2030,5,Street
603,2031,0,Buildings
604,2033,1,Forest
605,2034,4,Sea
606,2035,1,Forest
607,2039,0,Buildings
608,2046,3,Mountain
609,2047,1,Forest
610,2050,2,Glacier
611,2051,5,Street
612,2055,2,Glacier
613,2057,1,Forest
614,2060,1,Forest
615,2064,5,Street
616,2065,4,Sea
617,2067,0,Buildings
618,2074,4,Sea
619,2081,4,Sea
620,2084,5,Street
621,2090,0,Buildings
622,2094,0,Buildings
623,2096,1,Forest
624,2102,0,Buildings
625,2106,2,Glacier
626,2112,0,Buildings
627,2117,1,Forest
628,2118,1,Forest
629,2119,1,Forest
630,2124,4,Sea
631,2128,0,Buildings
632,2129,4,Sea
633,2130,1,Forest
634,2133,4,Sea
635,2135,5,Street
636,2138,1,Forest
637,2139,1,Forest
638,2141,5,Street
639,2146,3,Mountain
640,2151,4,Sea
641,2153,4,Sea
642,2163,5,Street
643,2165,0,Buildings
644,2167,3,Mountain
645,2180,1,Forest
646,2187,5,Street
647,2190,5,Street
648,2191,0,Buildings
649,2198,5,Street
650,2200,4,Sea
651,2206,5,Street
652,2207,1,Forest
653,2208,1,Forest
654,2213,2,Glacier
655,2216,4,Sea
656,2217,5,Street
657,2221,3,Mountain
658,2224,2,Glacier
659,2227,2,Glacier
660,2228,3,Mountain
661,2231,3,Mountain
662,2235,5,Street
663,2237,5,Street
664,2240,0,Buildings
665,2244,0,Buildings
666,2245,1,Forest
667,2246,1,Forest
668,2247,0,Buildings
669,2248,2,Glacier
670,2251,2,Glacier
671,2253,5,Street
672,2258,1,Forest
673,2260,2,Glacier
674,2268,1,Forest
675,2270,4,Sea
676,2271,3,Mountain
677,2275,4,Sea
678,2276,1,Forest
679,2278,1,Forest
680,2283,5,Street
681,2286,0,Buildings
682,2296,4,Sea
683,2299,0,Buildings
684,2302,1,Forest
685,2305,1,Forest
686,2309,4,Sea
687,2313,5,Street
688,2315,1,Forest
689,2316,1,Forest
690,2317,4,Sea
691,2326,4,Sea
692,2328,3,Mountain
693,2329,0,Buildings
694,2330,1,Forest
695,2340,1,Forest
696,2351,2,Glacier
697,2352,4,Sea
698,2354,0,Buildings
699,2355,3,Mountain
700,2359,5,Street
701,2363,1,Forest
702,2364,5,Street
703,2367,0,Buildings
704,2368,4,Sea
705,2370,2,Glacier
706,2373,0,Buildings
707,2376,5,Street
708,2378,1,Forest
709,2379,2,Glacier
710,2383,5,Street
711,2395,2,Glacier
712,2396,2,Glacier
713,2398,0,Buildings
714,2401,0,Buildings
715,2402,3,Mountain
716,2403,0,Buildings
717,2404,0,Buildings
718,2408,1,Forest
719,2412,4,Sea
720,2424,5,Street
721,2425,1,Forest
722,2427,0,Buildings
723,2432,3,Mountain
724,2438,2,Glacier
725,2441,5,Street
726,2442,0,Buildings
727,2444,1,Forest
728,2447,5,Street
729,2449,0,Buildings
730,2452,4,Sea
731,2459,5,Street
732,2466,3,Mountain
733,2467,2,Glacier
734,2473,4,Sea
735,2474,4,Sea
736,2476,3,Mountain
737,2482,5,Street
738,2483,5,Street
739,2485,0,Buildings
740,2488,0,Buildings
741,2490,3,Mountain
742,2491,5,Street
743,2493,2,Glacier
744,2498,1,Forest
745,2499,4,Sea
746,2500,2,Glacier
747,2501,3,Mountain
748,2507,4,Sea
749,2514,3,Mountain
750,2521,0,Buildings
751,2522,1,Forest
752,2525,3,Mountain
753,2530,5,Street
754,2532,2,Glacier
755,2533,3,Mountain
756,2534,0,Buildings
757,2538,4,Sea
758,2542,2,Glacier
759,2545,3,Mountain
760,2551,1,Forest
761,2552,5,Street
762,2553,2,Glacier
763,2554,3,Mountain
764,2556,5,Street
765,2557,2,Glacier
766,2561,3,Mountain
767,2563,2,Glacier
768,2572,0,Buildings
769,2574,3,Mountain
770,2576,2,Glacier
771,2577,0,Buildings
772,2580,5,Street
773,2583,4,Sea
774,2585,0,Buildings
775,2588,2,Glacier
776,2593,4,Sea
777,2595,3,Mountain
778,2606,2,Glacier
779,2610,0,Buildings
780,2611,5,Street
781,2620,1,Forest
782,2622,3,Mountain
783,2624,0,Buildings
784,2628,2,Glacier
785,2631,5,Street
786,2632,1,Forest
787,2634,0,Buildings
788,2637,3,Mountain
789,2640,4,Sea
790,2642,5,Street
791,2645,5,Street
792,2646,4,Sea
793,2650,4,Sea
794,2651,2,Glacier
795,2664,1,Forest
796,2682,1,Forest
797,2684,4,Sea
798,2685,5,Street
799,2686,1,Forest
800,2689,2,Glacier
801,2690,3,Mountain
802,2694,0,Buildings
803,2696,5,Street
804,2700,3,Mountain
805,2701,2,Glacier
806,2708,1,Forest
807,2711,0,Buildings
808,2718,2,Glacier
809,2719,1,Forest
810,2722,0,Buildings
811,2728,0,Buildings
812,2731,5,Street
813,2734,2,Glacier
814,2737,4,Sea
815,2739,3,Mountain
816,2745,5,Street
817,2750,1,Forest
818,2756,5,Street
819,2760,5,Street
820,2761,0,Buildings
821,2766,4,Sea
